Attribute	inLTP	notInLTP	totalDat	inDat	notInDat	totalLTP
bacillus	806	34	840	806	22225	23031
bent filament	5	0	5	5	23026	23031
clavate	9	2	11	9	23022	23031
coccobacillus	35	2	37	35	22996	23031
coccus	292	27	319	292	22739	23031
discoid	7	2	9	7	23024	23031
dumbbell-shaped	1	0	1	1	23030	23031
elliptic	109	13	122	109	22922	23031
filamentous	33	3	36	33	22998	23031
flat	5	0	5	5	23026	23031
pleiomorphic cell	83	6	89	83	22948	23031
polyhedral shape	1	0	1	1	23030	23031
rectangle	1	0	1	1	23030	23031
sigmoid	2	0	2	2	23029	23031
spirillum	53	6	59	53	22978	23031
tetrahedral	2	0	2	2	23029	23031
triangle	5	0	5	5	23026	23031
u-shaped	2	0	2	2	23029	23031
wrinkled	0	1	1	0	23031	23031
