Physiology	Rank	Fold	Attribute	TP	FP	FN	TN	MCC
animal_pathogen	all	Fold1	animal_pathogen	51	16	15	88	0.6172198105991087
animal_pathogen	all	Fold10	animal_pathogen	62	16	18	73	0.5961464444241632
animal_pathogen	all	Fold2	animal_pathogen	52	7	16	95	0.7163499319617694
animal_pathogen	all	Fold3	animal_pathogen	60	15	13	82	0.6652150730685457
animal_pathogen	all	Fold4	animal_pathogen	55	10	8	97	0.7747457971259312
animal_pathogen	all	Fold5	animal_pathogen	52	10	14	94	0.7003487379410821
animal_pathogen	all	Fold6	animal_pathogen	50	10	18	91	0.6520447756232474
animal_pathogen	all	Fold7	animal_pathogen	53	3	22	91	0.7122055565660782
animal_pathogen	all	Fold8	animal_pathogen	54	10	9	96	0.7604157380832425
animal_pathogen	all	Fold9	animal_pathogen	42	9	15	103	0.676153234593054
animal_pathogen	species	Fold1	animal_pathogen	24	13	11	93	0.5528839127798978
animal_pathogen	species	Fold10	animal_pathogen	26	8	9	97	0.6732014170987177
animal_pathogen	species	Fold2	animal_pathogen	28	6	16	91	0.622267204853412
animal_pathogen	species	Fold3	animal_pathogen	23	3	12	103	0.700474274072901
animal_pathogen	species	Fold4	animal_pathogen	23	11	13	94	0.5444513407952841
animal_pathogen	species	Fold5	animal_pathogen	31	9	11	90	0.6565696033770476
animal_pathogen	species	Fold6	animal_pathogen	20	11	13	97	0.5154683919908967
animal_pathogen	species	Fold7	animal_pathogen	31	6	13	90	0.6759401691236571
animal_pathogen	species	Fold8	animal_pathogen	23	6	12	99	0.6410906364162967
animal_pathogen	species	Fold9	animal_pathogen	34	9	17	80	0.5899642321140478
animal_pathogen	strain	Fold1	animal_pathogen	28	18	1	11	0.4256282653793743
animal_pathogen	strain	Fold10	animal_pathogen	24	17	4	11	0.28226724349092913
animal_pathogen	strain	Fold2	animal_pathogen	25	18	4	11	0.2756247308353552
animal_pathogen	strain	Fold3	animal_pathogen	26	18	3	11	0.3223291856101521
animal_pathogen	strain	Fold4	animal_pathogen	27	18	2	11	0.3721042037676254
animal_pathogen	strain	Fold5	animal_pathogen	27	18	2	11	0.3721042037676254
animal_pathogen	strain	Fold6	animal_pathogen	23	18	6	11	0.18938850476964256
animal_pathogen	strain	Fold7	animal_pathogen	27	18	2	11	0.3721042037676254
animal_pathogen	strain	Fold8	animal_pathogen	25	18	4	11	0.2756247308353552
animal_pathogen	strain	Fold9	animal_pathogen	26	18	3	11	0.3223291856101521
