Physiology	Attribute	Rank	Fold	TP	FP	FN	TN	MCC
habitat	free-living	all	Fold1	70	38	56	88	0.25660011963983365
habitat	free-living	all	Fold10	76	44	49	81	0.25620504608813943
habitat	free-living	all	Fold2	76	55	50	71	0.16679804718074362
habitat	free-living	all	Fold3	84	56	41	69	0.22563042992710647
habitat	free-living	all	Fold4	76	42	49	83	0.27242750174728897
habitat	free-living	all	Fold5	61	58	64	67	0.024027695867658738
habitat	free-living	all	Fold6	72	54	53	71	0.1440046082211958
habitat	free-living	all	Fold7	67	38	58	87	0.23502786055720126
habitat	free-living	all	Fold8	73	42	52	83	0.24879742971058968
habitat	free-living	all	Fold9	70	45	55	80	0.200643088476282
habitat	host-associated	all	Fold1	85	35	29	79	0.43920523057894156
habitat	host-associated	all	Fold10	91	33	23	81	0.5107407164153515
habitat	host-associated	all	Fold2	87	32	27	82	0.4829208538419894
habitat	host-associated	all	Fold3	89	36	25	78	0.46709180819358564
habitat	host-associated	all	Fold4	96	33	18	81	0.5574784668619939
habitat	host-associated	all	Fold5	96	37	18	77	0.5248852739892892
habitat	host-associated	all	Fold6	93	34	21	80	0.5209421094279326
habitat	host-associated	all	Fold7	93	33	21	81	0.5292561240249631
habitat	host-associated	all	Fold8	90	38	24	76	0.4596194077712559
habitat	host-associated	all	Fold9	93	32	21	82	0.5375962320718627
habitat	not_host-associated	all	Fold1	117	100	71	88	0.09152094426489832
habitat	not_host-associated	all	Fold10	114	108	73	79	0.03266276672320066
habitat	not_host-associated	all	Fold2	115	112	73	76	0.016312299697659075
habitat	not_host-associated	all	Fold3	113	113	75	75	0
habitat	not_host-associated	all	Fold4	112	114	76	74	-0.010862508931871368
habitat	not_host-associated	all	Fold5	121	120	67	68	0.005544017525332379
habitat	not_host-associated	all	Fold6	124	97	64	91	0.14588202334446548
habitat	not_host-associated	all	Fold7	129	104	59	84	0.1369600889615891
habitat	not_host-associated	all	Fold8	120	96	67	91	0.12991396049232617
habitat	not_host-associated	all	Fold9	118	98	69	89	0.10826163374360515
habitat	free-living	species	Fold1	67	55	58	70	0.09602765994967198
habitat	free-living	species	Fold10	77	51	47	73	0.2097865979195684
habitat	free-living	species	Fold2	72	53	52	71	0.15323078932364725
habitat	free-living	species	Fold3	73	51	51	73	0.1774193548387097
habitat	free-living	species	Fold4	81	55	43	69	0.21066621015445341
habitat	free-living	species	Fold5	76	56	48	68	0.16162704595880897
habitat	free-living	species	Fold6	69	50	55	74	0.1533505242818069
habitat	free-living	species	Fold7	71	55	53	69	0.1290490449322206
habitat	free-living	species	Fold8	78	56	46	68	0.17799912030404202
habitat	free-living	species	Fold9	65	49	59	75	0.12945390567566692
habitat	host-associated	species	Fold1	85	35	29	79	0.43920523057894156
habitat	host-associated	species	Fold10	91	33	23	81	0.5107407164153515
habitat	host-associated	species	Fold2	87	32	27	82	0.4829208538419894
habitat	host-associated	species	Fold3	89	36	25	78	0.46709180819358564
habitat	host-associated	species	Fold4	96	33	18	81	0.5574784668619939
habitat	host-associated	species	Fold5	96	37	18	77	0.5248852739892892
habitat	host-associated	species	Fold6	93	34	21	80	0.5209421094279326
habitat	host-associated	species	Fold7	93	33	21	81	0.5292561240249631
habitat	host-associated	species	Fold8	90	38	24	76	0.4596194077712559
habitat	host-associated	species	Fold9	93	32	21	82	0.5375962320718627
habitat	not_host-associated	species	Fold1	118	111	69	76	0.03841459843974886
habitat	not_host-associated	species	Fold10	114	103	72	83	0.05997868904524956
habitat	not_host-associated	species	Fold2	120	112	67	75	0.04407596427212599
habitat	not_host-associated	species	Fold3	125	106	62	81	0.10453930109733861
habitat	not_host-associated	species	Fold4	124	114	63	73	0.05558301073665106
habitat	not_host-associated	species	Fold5	125	118	62	69	0.03923369895708031
habitat	not_host-associated	species	Fold6	117	105	70	82	0.06532553344640132
habitat	not_host-associated	species	Fold7	114	107	73	80	0.038067660525260824
habitat	not_host-associated	species	Fold8	114	106	72	80	0.043747863925980714
habitat	not_host-associated	species	Fold9	114	113	72	73	0.005511922090193305
habitat	aquatic_biome	strain	Fold1	4	3	15	16	0.06788442333021306
habitat	aquatic_biome	strain	Fold10	8	3	10	15	0.3015113445777636
habitat	aquatic_biome	strain	Fold2	8	3	10	15	0.3015113445777636
habitat	aquatic_biome	strain	Fold3	6	3	12	15	0.19245008972987526
habitat	aquatic_biome	strain	Fold4	9	3	9	15	0.35355339059327373
habitat	aquatic_biome	strain	Fold5	8	3	10	15	0.3015113445777636
habitat	aquatic_biome	strain	Fold6	8	3	10	15	0.3015113445777636
habitat	aquatic_biome	strain	Fold7	8	3	10	15	0.3015113445777636
habitat	aquatic_biome	strain	Fold8	4	3	14	15	0.07018624063435965
habitat	aquatic_biome	strain	Fold9	7	3	11	15	0.24806946917841693
habitat	colonization_of_host	strain	Fold1	37	28	10	19	0.2072940478671954
habitat	colonization_of_host	strain	Fold10	39	29	8	18	0.23782574707724705
habitat	colonization_of_host	strain	Fold2	32	28	15	19	0.08856148855400953
habitat	colonization_of_host	strain	Fold3	36	29	11	18	0.16122870389670754
habitat	colonization_of_host	strain	Fold4	31	25	16	22	0.130066495428618
habitat	colonization_of_host	strain	Fold5	40	28	7	19	0.28539089649269644
habitat	colonization_of_host	strain	Fold6	35	27	12	20	0.17960530202677488
habitat	colonization_of_host	strain	Fold7	37	29	10	18	0.18609684207969418
habitat	colonization_of_host	strain	Fold8	35	28	12	19	0.15839698777049716
habitat	colonization_of_host	strain	Fold9	35	28	12	19	0.15839698777049716
habitat	multiple	strain	Fold1	20	13	10	17	0.2345088235604828
habitat	multiple	strain	Fold10	22	13	7	16	0.3172083195826086
habitat	multiple	strain	Fold2	20	13	10	17	0.2345088235604828
habitat	multiple	strain	Fold3	22	13	8	17	0.30425553170226594
habitat	multiple	strain	Fold4	20	13	10	17	0.2345088235604828
habitat	multiple	strain	Fold5	21	13	9	17	0.269069117598525
habitat	multiple	strain	Fold6	16	13	14	17	0.10005560189476051
habitat	multiple	strain	Fold7	23	13	6	16	0.3553345272593507
habitat	multiple	strain	Fold8	15	13	14	16	0.06900655593423542
habitat	multiple	strain	Fold9	17	13	12	16	0.13801311186847084
